Condition,Time,Row,Column,Sample,AC,BA,BC,BF,BH,BL,BO,BP,BT,BU,BV,BY,CA,CC,CD,CG,CH,CS,DF,DL,DP,EH,EL,ER,Escherichia_coli,FP,HB,OD600,PC,PJ,RI,Total,Unclassified
CD BV 10,26.5,B,8,P03B08,0,0,0,0,1,0,0,0,0,0,9492,0,0,0,1558,0,0,0,0,0,0,0,13,0,0,0,0,0.6756,0,0,0,11065,1
CD BV 10,26.5,B,9,P03B09,0,0,0,0,0,0,0,0,0,0,10152,0,0,0,1281,0,1,1,0,0,0,0,1,0,0,0,0,0.6036,0,0,0,11437,1
CD BV 50,26.5,B,10,P03B10,0,0,0,0,0,0,1,0,0,0,11875,0,0,0,1864,0,0,0,0,0,0,0,0,0,0,1,0,0.6316,0,3,0,13746,2
CD BV 50,26.5,B,11,P03B11,0,0,0,0,0,0,0,0,0,0,10684,0,0,0,1508,0,0,1,0,0,1,0,1,0,0,0,0,0.6452,0,0,0,12197,2
CD BV 50,26.5,B,12,P03B12,0,0,0,0,0,0,0,0,0,0,9938,0,0,0,1271,0,0,1,0,0,0,0,1,0,0,1,0,0.648,0,0,0,11213,1
CD CH 10,26.5,C,4,P03C04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4813,0,2804,0,0,0,0,0,1,3,0,0,0,0.2592,0,0,0,7648,26
CD CH 10,26.5,D,4,P03D04,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6871,0,4787,0,0,0,0,0,7,0,0,0,0,0.2868,0,0,0,11687,19
CD CH 10,26.5,E,4,P03E04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8653,0,5745,0,1,0,1,0,0,0,0,1,0,0.258,0,0,0,14447,45
CD CH 50,26.5,F,4,P03F04,0,0,0,0,1,0,1,0,1,0,0,0,0,0,9171,0,6078,0,0,0,0,0,0,1,0,0,0,0.2492,0,0,0,15315,62
CD CH 50,26.5,G,4,P03G04,0,0,0,0,0,0,1,0,1,0,1,0,0,0,11164,0,6978,0,0,0,0,0,2,2,0,1,0,0.244,0,0,0,18177,27
CD CH 50,26.5,H,4,P03H04,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8090,0,7291,0,0,0,0,0,0,2,0,0,0,0.2364,0,0,0,15444,59
CD CS 10,26.5,C,12,P03C12,0,0,0,0,1,0,0,0,2,0,1,0,0,0,4964,0,0,2344,0,0,0,0,2,0,0,0,0,0.2724,0,0,0,7319,5
CD CS 10,26.5,D,12,P03D12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5324,0,0,2928,0,0,0,0,3,0,0,0,0,0.2612,0,0,0,8260,4
CD CS 10,26.5,E,12,P03E12,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6549,0,0,3622,0,0,0,0,0,0,0,0,0,0.2628,0,0,0,10185,9
CD CS 50,26.5,F,12,P03F12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7639,0,1,2108,0,0,0,0,1,0,0,0,0,0.248,0,0,0,9753,2
CD CS 50,26.5,G,12,P03G12,0,0,0,0,0,0,0,0,0,0,2,0,2,0,8021,0,0,2757,0,0,0,0,0,0,0,0,0,0.2636,0,0,0,10788,6
CD CS 50,26.5,H,12,P03H12,0,0,0,0,1,0,1,0,0,0,0,0,1,0,9715,0,0,3321,0,0,0,0,1,1,0,0,0,0.2784,1,0,0,13049,7
CD DP 10,26.5,C,11,P03C11,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4024,0,0,0,0,0,1065,0,0,0,0,0,0,0.3212,0,0,0,5094,2
CD DP 10,26.5,D,11,P03D11,0,0,0,0,1,0,0,0,2,1,1,0,0,0,4483,0,0,0,0,0,843,0,1,0,0,2,0,0.166,0,0,0,5336,2
CD DP 10,26.5,E,11,P03E11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6454,0,0,0,0,0,2108,0,1,0,0,0,0,0.3312,1,0,0,8567,2
CD DP 50,26.5,F,11,P03F11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8291,0,0,1,0,0,2450,0,0,3,0,0,0,0.3684,0,0,0,10752,6
CD DP 50,26.5,G,11,P03G11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7363,0,0,0,0,0,1539,0,1,0,0,0,0,0.3444,0,0,0,8908,3
CD DP 50,26.5,H,11,P03H11,0,0,0,0,1,0,0,0,1,1,1,0,0,0,5878,0,1,0,0,0,6548,0,0,1,0,2,0,0,0,0,0,12437,3
CD ER 10,26.5,C,6,P03C06,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1843,0,0,0,0,0,0,0,1,6716,0,0,0,0.2988,0,0,0,8562,0
CD ER 10,26.5,D,6,P03D06,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2324,0,0,0,0,0,0,0,0,8865,0,0,0,0.3108,0,0,0,11191,0
CD ER 10,26.5,E,6,P03E06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2797,0,0,0,0,0,0,0,0,10760,0,0,0,0.2844,0,0,0,13560,2
CD ER 50,26.5,F,6,P03F06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4739,0,0,0,0,0,0,0,2,10375,0,0,0,0.3528,0,0,0,15120,4
CD ER 50,26.5,G,6,P03G06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4240,0,0,0,0,0,0,0,4,10042,0,0,0,0.358,0,0,0,14288,2
CD ER 50,26.5,H,6,P03H06,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4726,0,1,0,0,0,1,0,1,10493,0,1,0,0.3652,0,0,0,15225,0
CD FP 10,26.5,C,10,P03C10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4814,0,0,0,0,0,0,0,1,1,0,2336,0,0.29,0,0,0,7158,4
CD FP 10,26.5,D,10,P03D10,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2328,0,1,0,0,0,0,0,2,1,0,954,0,0.282,0,0,0,3289,0
CD FP 10,26.5,E,10,P03E10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4580,0,0,0,0,0,0,0,0,0,0,2717,0,0.2824,0,0,0,7301,1
CD FP 50,26.5,G,10,P03G10,0,0,0,0,0,0,1,0,0,0,2,0,1,0,8716,0,1,0,0,0,0,0,0,1,0,2968,0,0.2788,0,0,0,11691,1
CD FP 50,26.5,H,10,P03H10,0,0,0,0,0,0,4,0,1,1,0,0,1,0,10601,0,0,0,0,0,0,0,3,3,0,3252,0,0.2736,0,0,0,13870,4
CD PC 10,26.5,C,7,P03C07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9143,0,0,0,0,0,0,0,0,1,0,0,0,0.2796,1287,0,0,10437,5
CD PC 10,26.5,D,7,P03D07,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3392,0,0,0,0,0,0,0,1,4,0,1,0,0.3048,304,0,0,3707,3
CD PC 10,26.5,E,7,P03E07,0,0,0,0,0,0,4,0,1,0,0,0,0,0,4467,0,0,0,0,0,0,0,0,0,0,0,0,0.2824,718,0,0,5193,3
CD PC 50,26.5,F,7,P03F07,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5746,0,0,0,0,0,0,0,0,0,0,0,0,0.2584,235,0,0,5985,1
CD PC 50,26.5,G,7,P03G07,0,0,0,0,2,0,1,0,0,0,0,0,0,0,9116,0,0,0,0,0,0,0,0,2,0,0,0,0.254,607,0,0,9729,1
CD PC 50,26.5,H,7,P03H07,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5192,0,0,0,0,0,0,0,1,3,0,0,0,0.2556,136,0,0,5338,3
CD BH 10,41.5,C,8,P05C08,0,0,0,0,8110,0,2,0,3,1,1,0,1,1,5330,0,0,0,0,0,3,0,0,1,0,1,0,0.482,0,0,0,13469,15
CD BH 10,41.5,D,8,P05D08,0,0,0,0,7857,0,4,0,3,0,4,0,1,0,5375,0,0,0,0,0,3,0,0,0,0,0,0,0.41,0,0,0,13257,10
CD BH 10,41.5,E,8,P05E08,0,0,0,0,8173,0,3,0,1,1,0,0,0,1,5320,0,0,0,0,0,2,0,0,0,0,1,0,0.4236,1,0,0,13519,16
CD BH 50,41.5,F,8,P05F08,0,0,0,0,8239,0,3,0,3,0,0,0,3,3,7298,0,0,0,0,0,2,0,0,1,0,0,0,0.6476,0,0,0,15566,14
CD BH 50,41.5,G,8,P05G08,0,1,0,0,7616,0,3,0,1,0,0,0,0,3,6964,0,0,1,0,0,3,0,0,0,1,1,0,0.6516,0,0,0,14601,7
CD BH 50,41.5,H,8,P05H08,0,0,0,0,7074,0,5,0,4,0,0,0,0,0,6157,0,0,1,0,0,2,0,0,0,0,0,0,0.6,1,0,0,13258,14
CD BO 10,41.5,C,3,P05C03,0,0,0,0,4,0,11228,0,1,3,1,0,0,0,1767,0,0,0,0,0,0,0,0,4,0,0,0,0.5008,0,0,0,13008,0
CD BO 10,41.5,D,3,P05D03,0,0,0,0,0,0,12635,2,2,70,0,0,0,0,2155,0,0,0,0,0,0,0,0,0,0,0,0,0.4704,0,0,0,14864,0
CD BO 10,41.5,E,3,P05E03,0,0,0,0,0,1,12557,0,3,3,0,1,0,0,2040,0,0,0,0,0,0,0,0,0,0,1,0,0.4356,0,0,0,14606,0
CD BO 50,41.5,F,3,P05F03,0,0,2,0,1,0,13878,0,1,4,0,0,0,0,2345,0,0,0,0,0,0,0,0,4,0,0,0,0.4888,0,0,0,16235,0
CD BO 50,41.5,G,3,P05G03,0,0,0,0,1,0,13556,0,0,1,0,0,0,0,2261,0,0,0,0,0,0,0,0,1,0,0,0,0.4964,0,0,0,15820,0
CD BO 50,41.5,H,3,P05H03,0,0,0,0,1,0,13948,0,2,3,0,0,0,0,2392,0,0,0,0,0,0,0,0,9,0,0,0,0.5104,0,0,0,16355,0
CD BT 10,41.5,C,2,P05C02,0,0,0,0,4,0,2,0,14254,5,1,0,0,1,363,0,0,0,0,0,1,0,0,1,0,0,0,0.4052,0,0,0,14638,6
CD BT 10,41.5,D,2,P05D02,0,0,0,0,0,0,2,0,15907,5,0,0,0,4,367,0,0,1,0,0,1,0,0,1,0,0,0,0.408,0,0,0,16292,4
CD BT 10,41.5,E,2,P05E02,0,0,0,0,2,0,0,0,14464,32,0,0,0,0,412,0,0,0,0,0,1,0,0,0,0,0,0,0.4072,0,0,0,14918,7
CD BT 50,41.5,F,2,P05F02,0,0,0,0,1,0,3,0,14782,3,0,0,0,0,653,0,0,0,0,0,0,0,0,1,0,0,0,0.4936,1,0,0,15449,5
CD BT 50,41.5,H,2,P05H02,0,0,0,0,2,0,2,0,13279,2,0,0,0,0,504,0,0,1,0,0,0,0,0,2,0,0,0,0.51,0,0,0,13793,1
CD BU 10,41.5,E,1,P05E01,0,0,0,0,0,0,2,0,3,2684,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0.4076,0,0,0,3303,5
CD BU 50,41.5,F,1,P05F01,0,0,0,1,1,0,4,0,2,10743,0,0,0,0,2551,0,0,0,0,0,0,0,0,2,0,1,0,0.4344,0,0,1,13319,13
CD BU 50,41.5,G,1,P05G01,0,0,0,0,1,0,14,0,0,10705,0,0,0,0,2629,0,0,5,0,0,0,0,0,7,0,0,0,0.4724,0,0,3,13378,14
CD BU 50,41.5,H,1,P05H01,0,0,0,0,0,0,0,0,0,11238,0,0,0,0,2883,0,0,1,0,0,0,0,0,0,0,0,0,0.4896,0,0,1,14129,6
CD BV 10,41.5,B,7,P05B07,0,0,0,0,0,0,1,0,0,1,9500,0,0,0,2724,0,0,0,0,0,3,0,0,2,0,0,0,0.602,0,0,0,12238,7
CD BV 10,41.5,B,8,P05B08,0,0,0,0,0,0,3,0,1,0,11284,0,0,0,3074,0,0,0,0,0,1,0,0,1,0,0,0,0.7608,0,0,0,14365,1
CD BV 10,41.5,B,9,P05B09,0,0,0,0,0,0,1,0,1,0,10919,0,0,1,2688,0,1,1,0,0,0,0,0,0,0,0,0,0.6064,0,0,0,13617,5
CD BV 50,41.5,B,10,P05B10,0,0,0,0,0,0,0,0,1,0,13270,0,0,0,3432,0,3,2,0,0,1,0,0,0,0,0,0,0.686,0,0,0,16715,6
CD BV 50,41.5,B,11,P05B11,0,0,0,0,0,0,0,0,3,0,10969,0,0,0,2791,0,3,1,0,0,4,0,0,0,0,1,0,0.68,1,0,0,13780,7
CD BV 50,41.5,B,12,P05B12,0,0,0,0,0,0,0,1,0,3,10450,0,0,0,2678,0,0,3,0,0,1,0,0,0,0,0,0,0.7136,0,0,0,13143,7
CD CH 10,41.5,D,4,P05D04,0,1,0,0,0,0,0,0,3,1,0,0,0,0,10910,0,20,4,0,0,0,0,1,0,0,2,0,0.4648,0,0,0,10943,1
CD CH 50,41.5,H,4,P05H04,0,0,0,0,0,0,0,0,1,1,0,0,0,0,665,0,2,1,0,0,0,0,1,2,0,1,0,0.4012,0,0,0,674,0
CD CS 10,41.5,C,12,P05C12,0,0,0,0,1,0,0,0,1,1,1,0,0,0,5963,0,1,647,0,0,0,0,0,0,0,0,0,0.3748,0,0,0,6617,2
CD CS 10,41.5,D,12,P05D12,0,0,0,0,1,0,0,0,0,0,3,0,0,3,998,0,1,96,0,0,0,0,0,0,0,0,0,0.3584,0,0,0,1103,1
CD CS 50,41.5,G,12,P05G12,1,0,0,0,0,0,0,0,0,3,0,0,0,0,9492,0,3,996,0,0,0,0,0,0,0,0,0,0.3624,0,0,0,10500,5
CD CS 50,41.5,H,12,P05H12,0,0,0,0,0,0,0,0,1,2,1,0,0,0,8075,0,2,1118,0,0,0,0,0,2,0,0,0,0.3744,0,0,0,9203,2
CD DP 10,41.5,C,11,P05C11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11004,0,2,2,0,0,725,0,0,0,0,0,0,0.3896,0,0,0,11744,9
CD DP 10,41.5,D,11,P05D11,0,0,0,0,1,0,0,0,2,1,4,0,0,0,7099,0,3,1,0,0,344,0,0,0,0,0,0,0.3584,1,0,0,7462,6
CD DP 50,41.5,F,11,P05F11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9448,0,2,2,0,1,436,0,0,0,0,0,0,0.4032,0,0,0,9895,3
CD DP 50,41.5,G,11,P05G11,0,0,0,0,1,0,3,0,0,1,0,0,0,0,7996,0,6,1,0,0,391,0,0,2,1,3,0,0.4196,0,0,0,8408,3
CD DP 50,41.5,H,11,P05H11,0,0,0,0,6,0,0,0,1,0,0,0,0,0,11149,0,1,0,0,0,2699,0,0,2,0,0,0,0.4044,0,0,0,13868,10
CD ER 10,41.5,C,6,P05C06,1,0,0,0,0,0,1,0,7,0,0,0,0,0,2245,0,0,0,0,0,0,0,0,5528,0,3,0,0.448,1,0,0,7791,5
CD ER 10,41.5,D,6,P05D06,0,0,0,0,0,0,1,0,8,0,1,0,0,0,4096,0,0,0,0,0,0,0,0,9075,0,0,0,0.4456,1,0,1,13202,19
CD ER 10,41.5,E,6,P05E06,0,0,0,0,1,0,1,0,6,1,0,0,0,0,3088,0,0,0,0,0,1,0,0,9317,0,1,0,0.448,0,0,0,12431,15
CD ER 50,41.5,F,6,P05F06,0,0,0,0,0,0,2,0,1,2,0,0,0,0,5113,0,0,1,0,0,0,0,0,11074,0,3,0,0.4104,0,0,0,16205,9
CD ER 50,41.5,G,6,P05G06,0,0,0,0,0,0,0,0,2,2,0,0,0,2,5148,0,0,1,0,0,0,0,0,12056,0,3,0,0.4316,0,0,0,17224,10
CD ER 50,41.5,H,6,P05H06,0,0,0,0,2,0,1,0,4,0,0,0,0,0,4271,0,0,1,0,0,0,0,0,9856,0,1,0,0.4232,1,0,0,14141,4
CD FP 10,41.5,C,10,P05C10,0,0,0,0,0,0,2,0,1,1,1,0,0,1,8054,0,2,2,0,0,2,0,0,0,0,546,0,0.3436,0,1,0,8614,1
CD FP 10,41.5,D,10,P05D10,0,0,0,0,0,0,6,0,1,0,6,0,0,1,4827,0,2,21,0,0,0,0,0,2,0,96,0,0.3536,0,0,0,4964,2
CD FP 10,41.5,E,10,P05E10,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5685,0,1,1,0,0,1,0,0,1,0,111,0,0.394,1,0,0,5804,0
CD FP 50,41.5,F,10,P05F10,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1264,0,2,2,0,0,0,0,0,1,0,26,0,0.3624,0,0,0,1299,0
CD FP 50,41.5,G,10,P05G10,0,0,0,0,0,0,3,1,0,1,2,0,0,0,12524,0,2,0,0,0,1,0,0,2,0,327,0,0.3952,0,0,0,12865,2
CD FP 50,41.5,H,10,P05H10,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1070,0,2,0,0,0,2,0,0,0,0,8,0,0.3604,0,0,0,1088,1
CD PC 10,41.5,C,7,P05C07,0,0,0,0,2,0,3,0,1,1,0,0,0,0,1573,0,0,0,0,0,5,0,0,2,0,0,0,0.3276,60,0,0,1647,0
CD PC 50,41.5,F,7,P05F07,0,0,0,0,2,0,1,0,3,0,0,0,0,1,3579,0,0,1,0,0,2,0,0,2,0,0,0,0.2936,205,0,0,3797,1
CD PC 50,41.5,H,7,P05H07,0,0,0,0,0,0,3,0,1,2,0,0,0,0,3846,0,0,0,0,0,15,0,0,3,0,0,0,0.378,200,0,0,4071,1
