organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,tax,samples,relative,reads
,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,SRR15123482,0.1791412163424617,1791.412163424617
Bacteroides stercoris ATCC 43183,Bacteroides stercoris ATCC 43183 (449673.7),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,688.0,2334.0,1353.0,Ines Thiele,04/20/12,449673.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,Bacteroides_stercoris.json,Bacteroides stercoris ATCC 43183,,Bacteroides_stercoris,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,SRR15123482,0.007861208414589586,78.61208414589586
,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,SRR15123482,0.027031576787313952,270.3157678731395
Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,SRR15123482,0.06098630521774807,609.8630521774807
Barnesiella intestinihominis YIT 11860,Barnesiella intestinihominis YIT 11860 (742726.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,622.0,2235.0,1282.0,chenry,09/10/14,742726.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,Barnesiella_intestinihominis.json,Barnesiella intestinihominis YIT 11860,kb|g.27473,Barnesiella_intestinihominis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,SRR15123482,0.010457516431482008,104.57516431482009
Alistipes onderdonkii DSM 19147,Alistipes onderdonkii DSM 19147 (1120974.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,662.0,1101.0,899.0,Laura Kutt,04/17/16,1203611.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Alistipes_onderdonkii.json,Alistipes onderdonkii DSM 19147,kb|g.29550,Alistipes_onderdonkii,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,SRR15123482,0.007482125493897601,74.82125493897601
Alistipes putredinis DSM 17216,Alistipes putredinis DSM 17216 (445970.5),Obligate anaerobe,"Weakly saccharolytic, fermentative",Negative,Commensal,421.0,858.0,721.0,chenry,09/09/14,445970.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes_putredinis.json,Alistipes putredinis DSM 17216,kb|g.1522,Alistipes_putredinis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,SRR15123482,0.003989138142469861,39.891381424698615
Parabacteroides distasonis ATCC 8503,Parabacteroides distasonis ATCC 8503 (435591.13),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,845.0,2519.0,1459.0,Eugen Bauer,08/03/14,435591.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides_distasonis.json,Parabacteroides distasonis ATCC 8503,,Parabacteroides_distasonis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,SRR15123482,0.04270050571021246,427.00505710212457
Parabacteroides merdae ATCC 43184,Parabacteroides merdae ATCC 43184 (411477.4),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,732.0,2474.0,1396.0,Ines Thiele,04/20/12,411477.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,Parabacteroides_merdae.json,Parabacteroides merdae ATCC 43184,,Parabacteroides_merdae,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae,SRR15123482,0.03366596942695194,336.65969426951943
,,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,,,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus_faecalis.json,,,Enterococcus_faecalis,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,SRR15123482,0.007637543183845197,76.37543183845197
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,Lacticaseibacillus_rhamnosus.json,,,Lacticaseibacillus_rhamnosus,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_rhamnosus,SRR15123482,0.010569790574382463,105.69790574382462
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,Ines Thiele,06/25/12,,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,Ligilactobacillus_salivarius.json,,,Ligilactobacillus_salivarius,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_salivarius,SRR15123482,0.03826555091492214,382.6555091492214
,,Obligate anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,,,,Ines Thiele,06/29/12,,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,Pediococcus_acidilactici.json,,,Pediococcus_acidilactici,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici,SRR15123482,0.0013427482888004934,13.427482888004935
Streptococcus salivarius JIM8777,Streptococcus salivarius JIM8777 (347253.5),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,605.0,1190.0,881.0,Laura Kutt,04/18/16,347253.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,Streptococcus_salivarius.json,Streptococcus salivarius JIM8777,kb|g.26457,Streptococcus_salivarius,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,SRR15123482,0.026196206703845624,261.9620670384562
Streptococcus thermophilus LMG 18311,Streptococcus thermophilus LMG 18311 (264199.4),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,570.0,954.0,748.0,Ines Thiele,08/07/12,264199.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Streptococcus_thermophilus.json,Streptococcus thermophilus LMG 18311,,Streptococcus_thermophilus,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,SRR15123482,0.02464379591448271,246.43795914482712
Blautia producta DSM 2950,,Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,1023.0,1235.0,966.0,chenry,09/10/14,1121114.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia producta,Blautia_producta.json,Blautia producta DSM 2950,kb|g.29565,Blautia_producta,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta,SRR15123482,0.039629744826523844,396.2974482652384
Dorea longicatena DSM 13814,Dorea longicatena DSM 13814 (411462.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,697.0,1536.0,1131.0,Ines Thiele,06/29/12,411462.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea longicatena,Dorea_longicatena.json,Dorea longicatena DSM 13814,,Dorea_longicatena,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,SRR15123482,0.007367580637994666,73.67580637994666
,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,SRR15123482,0.10000000000000002,1000.0000000000002
Flavonifractor plautii ATCC 29863,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,744.0,1207.0,970.0,Laura Kutt,04/18/16,411475.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii,Flavonifractor_plautii.json,Flavonifractor plautii ATCC 29863,kb|g.26645,Flavonifractor_plautii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,SRR15123482,0.0014834063442319618,14.834063442319618
Clostridium innocuum 2959,Clostridium innocuum 2959 (999413.4),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Pathogen,1135.0,1286.0,975.0,Laura Kutt,04/18/16,999413.0,Kbase,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] innocuum,_Clostridium__innocuum.json,Clostridium innocuum 2959,kb|g.32468,_Clostridium__innocuum,species,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum,SRR15123482,0.02313806089239302,231.3806089239302
"Clostridium ramosum VPI 0427, DSM 1402",Clostridium ramosum DSM 1402 (445974.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive or negative,Commensal,781.0,1039.0,844.0,Ines Thiele,08/06/12,445974.0,ModelSEED,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium ramosum,Erysipelatoclostridium_ramosum.json,"Clostridium ramosum VPI 0427, DSM 1402",,Erysipelatoclostridium_ramosum,species,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,SRR15123482,0.0055664006241377085,55.66400624137709
"Holdemania filiformis VPI J1-31B-1, DSM 12042",Holdemania filiformis DSM 12042 (545696.5),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,721.0,1744.0,1113.0,Ines Thiele,09/06/12,61171.0,ModelSEED,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania filiformis,Holdemania_filiformis.json,"Holdemania filiformis VPI J1-31B-1, DSM 12042",,Holdemania_filiformis,species,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,SRR15123482,0.0018173273063190442,18.173273063190443
Bilophila wadsworthia 3_1_6,Bilophila wadsworthia 3_1_6 (563192.3),Obligate anaerobe,"Only anaerobic respiration, nonfermentative, asaccharolytic",Negative,Commensal,819.0,1386.0,1081.0,Ines Thiele,06/29/12,563192.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila wadsworthia,Bilophila_wadsworthia.json,Bilophila wadsworthia 3_1_6,,Bilophila_wadsworthia,species,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,SRR15123482,0.020521821061367705,205.21821061367706
Citrobacter amalonaticus Y19,,Facultative anaerobe,"Fermentative, respiratory",Negative,,1318.0,1827.0,1219.0,Laura Kutt,04/18/16,1261127.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter amalonaticus,Citrobacter_amalonaticus.json,Citrobacter amalonaticus Y19,kb|g.240294,Citrobacter_amalonaticus,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_amalonaticus,SRR15123482,0.004424358134612073,44.24358134612073
,Citrobacter freundii ATCC 8090 = MTCC 1658 (1006003.3),Facultative anaerobe,"Fermentative, respiratory",Negative,,,,,Laura Kutt,,,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,Citrobacter_freundii.json,,,Citrobacter_freundii,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii,SRR15123482,0.02174636612331682,217.4636612331682
,,Facultative anaerobe,,Negative,,,,,,,,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia_coli.json,,,Escherichia_coli,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,SRR15123482,0.09275030020367737,927.5030020367738
,,Facultative anaerobe,,Negative,Opportunistic pathogen,,,,,,,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Klebsiella_pneumoniae.json,,kb|g.209992,Klebsiella_pneumoniae,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,SRR15123482,0.009220860900186327,92.20860900186328
Proteus mirabilis ATCC 29906,Proteus mirabilis ATCC 29906 (525369.4),Facultative anaerobe,"fermentative, respiratory",Negative,,1017.0,1566.0,1109.0,,,525369.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,Proteus_mirabilis.json,Proteus mirabilis ATCC 29906,kb|g.2021,Proteus_mirabilis,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus_mirabilis,SRR15123482,0.047173179571488436,471.73179571488436
Serratia marcescens Db11,Serratia marcescens Db11 (615.1),Facultative anaerobe,"fermentative, respiratory",Negative,,1335.0,1839.0,1232.0,,,273526.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,Serratia_marcescens.json,Serratia marcescens Db11,kb|g.245248,Serratia_marcescens,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_marcescens,SRR15123482,0.004912939882312591,49.12939882312591
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila ATCC BAA-835 (349741.6),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,643.0,2274.0,1275.0,Eugen Bauer,08/03/14,349741.0,Kbase,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia_muciniphila.json,Akkermansia muciniphila ATCC BAA-835,,Akkermansia_muciniphila,species,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,SRR15123482,0.007689264980012822,76.89264980012823
,Bifidobacterium adolescentis ATCC 15703 (367928.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium_adolescentis.json,,,Bifidobacterium_adolescentis,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,SRR15123484,0.00100377,10.0377
,,Facultative anaerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,Commensal,,,,Eugen Bauer,08/03/14,,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,Bacillus_cereus.json,,,Bacillus_cereus,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus,SRR15123484,0.0013875299999999999,13.8753
Lactobacillus iners DSM 13335,Lactobacillus iners DSM 13335 (525328.4),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,395.0,929.0,725.0,Laura Kutt,04/18/16,525328.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,Lactobacillus_iners.json,Lactobacillus iners DSM 13335,kb|g.2008,Lactobacillus_iners,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners,SRR15123484,0.00572355,57.2355
,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,SRR15123484,0.09999999999999999,999.9999999999999
,,Facultative anaerobe,,Negative,,,,,,,,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia_coli.json,,,Escherichia_coli,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,SRR15123484,0.88014969,8801.4969
Serratia marcescens Db11,Serratia marcescens Db11 (615.1),Facultative anaerobe,"fermentative, respiratory",Negative,,1335.0,1839.0,1232.0,,,273526.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,Serratia_marcescens.json,Serratia marcescens Db11,kb|g.245248,Serratia_marcescens,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_marcescens,SRR15123484,0.00914544,91.45439999999999
,Bifidobacterium adolescentis ATCC 15703 (367928.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium_adolescentis.json,,,Bifidobacterium_adolescentis,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,SRR15123486,0.059210062865556745,592.1006286555674
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,Kbase,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,Bifidobacterium_bifidum.json,,,Bifidobacterium_bifidum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,SRR15123486,0.017606185307580013,176.06185307580014
Bifidobacterium pseudocatenulatum DSM 20438,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,539.0,885.0,729.0,Ines Thiele,04/20/12,547043.0,ModelSEED,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,Bifidobacterium_pseudocatenulatum.json,Bifidobacterium pseudocatenulatum DSM 20438,,Bifidobacterium_pseudocatenulatum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,SRR15123486,0.0354415043968858,354.415043968858
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium_longum.json,,,Bifidobacterium_longum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,SRR15123486,0.0163993509349037,163.993509349037
Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,469.0,1097.0,874.0,chenry,04/15/16,1437595.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacterium_pseudolongum.json,Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,kb|g.239965,Bifidobacterium_pseudolongum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,SRR15123486,0.0163993509349037,163.993509349037
,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides_fragilis.json,,,Bacteroides_fragilis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,SRR15123486,0.029997967463423807,299.97967463423805
,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,SRR15123486,0.021800280346970402,218.00280346970402
,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,SRR15123486,0.0060777262185856325,60.77726218585632
Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,SRR15123486,0.005019639437269315,50.19639437269315
Parabacteroides distasonis ATCC 8503,Parabacteroides distasonis ATCC 8503 (435591.13),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,845.0,2519.0,1459.0,Eugen Bauer,08/03/14,435591.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides_distasonis.json,Parabacteroides distasonis ATCC 8503,,Parabacteroides_distasonis,species,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,SRR15123486,0.0011591139487135895,11.591139487135894
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,Limosilactobacillus_fermentum.json,,,Limosilactobacillus_fermentum,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_fermentum,SRR15123486,0.022738971384999036,227.38971384999036
Clostridium perfringens ATCC 13124,Clostridium perfringens ATCC 13124 (195103.9),Anaerobe,"Saccharolytic, fermentative",Positive,Pathogen,735.0,1358.0,1002.0,Laura Kutt,04/18/16,195103.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,Clostridium_perfringens.json,Clostridium perfringens ATCC 13124,kb|g.203,Clostridium_perfringens,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens,SRR15123486,0.005850770154620065,58.50770154620065
