organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,tax,samples,relative,reads
Clostridium nexile DSM 1787,Clostridium nexile DSM 1787 (500632.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,646.0,2135.0,1210.0,Ines Thiele,04/20/12,500632.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,Tyzzerella nexilis,Tyzzerella_nexilis.json,Clostridium nexile DSM 1787,,Tyzzerella_nexilis,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella|s__Tyzzerella_nexilis,CAVI230300_t7,0.01733367503345621,173.3367503345621
,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,CAVI230300_t7,0.10000000000000002,1000.0000000000002
,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,CAVI230300_t7,0.00117771407183504,11.777140718350399
Flavonifractor plautii ATCC 29863,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,744.0,1207.0,970.0,Laura Kutt,04/18/16,411475.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii,Flavonifractor_plautii.json,Flavonifractor plautii ATCC 29863,kb|g.26645,Flavonifractor_plautii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,CAVI230300_t7,0.0068051756452112535,68.05175645211253
Clostridium innocuum 2959,Clostridium innocuum 2959 (999413.4),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Pathogen,1135.0,1286.0,975.0,Laura Kutt,04/18/16,999413.0,Kbase,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] innocuum,_Clostridium__innocuum.json,Clostridium innocuum 2959,kb|g.32468,_Clostridium__innocuum,species,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum,CAVI230300_t7,0.015001919085556478,150.01919085556477
Eubacterium cylindroides T2-87,Eubacterium cylindroides T2-87 (717960.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,463.0,994.0,778.0,chenry,09/10/14,717960.0,Kbase,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,Faecalitalea cylindroides,Faecalitalea_cylindroides.json,Eubacterium cylindroides T2-87,kb|g.3100,Faecalitalea_cylindroides,species,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalitalea|s__Faecalitalea_cylindroides,CAVI230300_t7,0.007230649865793043,72.30649865793043
,,Obligate anaerobe,"Asaccharolytic, glutamate is fermented",Negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus_intestini.json,,,Acidaminococcus_intestini,species,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini,CAVI230300_t7,0.0013232310790422062,13.232310790422062
,,Facultative anaerobe,,Negative,,,,,,,,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia_coli.json,,,Escherichia_coli,species,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,CAVI230300_t7,0.060708551995109536,607.0855199510953
Lactobacillus amylovorus GRL 1112,Lactobacillus amylovorus GRL 1112 (695560.3),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,556.0,1048.0,817.0,Laura Kutt,04/18/16,695560.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,Lactobacillus_amylovorus.json,Lactobacillus amylovorus GRL 1112,kb|g.3001,Lactobacillus_amylovorus,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_amylovorus,CAVI230300_t7,0.002212591007682198,22.12591007682198
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium_longum.json,,,Bifidobacterium_longum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,COKO200409_t0,0.4226901332464503,4226.901332464503
